id,policy_title,description_short,agency,policy_area,status,status_detail,status_source,p2025_page,last_updated,status_bucket
11,Personnel Organizational Agenda,"The NSC should  reduce the number of positions that need high-level clearances -- If certain staff are determined not to need high-level clearances, the question becomes whether they should be part of the NSC at all.",U.S. Office of Management and Budget,Personnel Organizational Agenda,Initiated/Attempted,"Mass firing of NSC staff admidst major reorganization effort, Press Reports (May 23, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,52,2026-02-11,In progress
12,National Security,The National Defense Strategy should be prioritized for White House review by the NSC and OMB. Both should also conduct reviews of operational war plans and global force planning and allocations with the Secretary of Defense to align them with presidential priorities and review all key policy and guidance,U.S. Office of Management and Budget,National Security,Completed,2025 National Security Strategy released in November,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,52,2026-02-11,Completed
13,National Security,"The NSC should rigorously review all general and flag officer promotions to prioritize the core roles and responsibilities of the military over social engineering and non-defense matters, including climate change, critical race theory, manufactured extremism, and other polarizing policies that weaken our armed forces and discourage our nation’s finest men and women from enlisting to serve in defense of our liberty.",U.S. Office of Management and Budget,National Security,Proposed,"Executive Order 14185 (January 27, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,,2026-02-11,In progress
14,National Security,The NSA should return all nonessential detailees to their home agencies on their first day in office so that the new Administration can proceed efficiently without the personnel land mines left by the previous stewards and as soon as possible should replace all essential detailees with staff aligned to the new President’s priorities,U.S. Office of Management and Budget,National Security,Initiated/Attempted,AP Reports 160 NSC Detailees put on leave on Day One,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,52,2026-02-11,In progress
15,Economic and Trade Policy,The NEC Director should chair a standing meeting with the principals from each of the other EOP offices to enhance coordination from within the White House,U.S. Office of Management and Budget,Economic and Trade Policy,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,54,2026-02-11,Not initiated
16,Economic and Trade Policy,"The USTR should organize and harness existing interagency trade committees to serve the President’s trade agenda and drive a consensus among federal stakeholders, dispose of legacy advisory committees with members who serve special interests, direct action to implement policy priorities, measure progress toward implementing the President’s agenda, and hold agencies and officials accountable for delivering the President’s agenda",U.S. Office of Management and Budget,Economic and Trade Policy,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,55,2026-02-11,Not initiated
17,Economic and Trade Policy,Depart from the current academic-year based hiring schedule for senior economists (as this often leaves holdovers from previous administrations) and consider hiring that reflects the White House calendar (mid-January) and involves the Office of Presidential Personnel.,U.S. Office of Management and Budget,Economic and Trade Policy,Initiated/Attempted,It appears that at least a few of the eexisting CEA senior economists were appionted by Trump soon after his annauguration,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,57,2026-02-11,In progress
18,Budget Organizational Agenda,OMB should collaborate with the National Space Council (NSpC) to promote presidential priorities while finding offsets in lower-priority programs and funding lines.,U.S. Office of Management and Budget,Budget Organizational Agenda,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,58,2026-02-11,Not initiated
19,Regulatory Policy and Oversight,"If science is being manipulated at the agencies to support separate political and institutional agendas, the President should increase the prominence of the OSTP’s Director either formally or informally. This would elevate the role of science in policy discussions and subsequent outcomes.",U.S. Office of Management and Budget,Regulatory Policy and Oversight,Completed,"Executive Order on Restoring Gold Standard Science (May 23, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,59,2026-02-11,Completed
20,Regulatory Policy and Oversight,"The President should issue an executive order to reshape the U.S. Global Change Research Program (USGCRP) and related climate change research programs. He should critically analyze and, if required, refuse to accept any USGCRP assessment prepared under the Biden Administration.",U.S. Office of Management and Budget,Regulatory Policy and Oversight,Proposed,"Press reports that the Trump administration plans to cancel funding for the USGCRP (April 9, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,59,2026-02-11,In progress
21,DEI,"Unwinding policies and procedures that are used to advance radical gender, racial, and equity initiatives under the banner of science. Reverse the Biden Adimistrations’s leveraging of the federal government’s resources to further the woke agenda -- scientific excellence and innovation should be restored as the OSTP’s top priority.",U.S. Office of Management and Budget,DEI,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,60,2026-02-11,Not initiated
22,Regulatory Policy and Oversight,"The President should instruct the Council on Environmental Quality to rewrite its regulations implementing NEPA along the lines of the historic 2020 effort and restoring its key provisions such as banning the use of cumulative impact analysis -- overall goal of building on the Supreme Court ruling that “CEQ’s interpretation of NEPA is entitled to substantial deference.""",U.S. Office of Management and Budget,Regulatory Policy and Oversight,Completed,"Interim Final Rule repealing NEPA rules signed on February 19, 2025",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,60,2026-02-11,Completed
23,Regulatory Policy and Oversight,"Frame the new regulations to limit the scope for judicial review of agency NEPA analysis and judicial remedies, as well as to vindicate the strong public interest in e!ective and timely agency action.",U.S. Office of Management and Budget,Regulatory Policy and Oversight,Completed,"Interim Final Rule repealing NEPA rules signed on February 19, 2025",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,60,2026-02-11,Completed
24,Regulatory Policy and Oversight,Further empower the Federal Permitting Improvement Steering Cuncil by making its Executive Director an EOP appointee with delegated presidential directive authority over executive branch permitting agencies.,U.S. Office of Management and Budget,Regulatory Policy and Oversight,Completed,"Trump appointed Emily Domenech as the Executive Director of the Council on May 28, 2025",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,61,2026-02-11,Completed
25,Regulatory Policy and Oversight,Issue a new executive order to create a unified process for major infrastructure projects that includes giving project proponents more control of any regulatory clocks.,U.S. Office of Management and Budget,Regulatory Policy and Oversight,Completed,"Executive Order 13766 (January 24, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,61,2026-02-11,Completed
26,Environment/Climate,Issue an executive order establishing a Senior Advisor to coordinate the policy development and implementation of relevant energy and environment policy by officials across the EOP and abolishing the existing Office of Domestic Climate Policy.,U.S. Office of Management and Budget,Environment/Climate,Completed,"National Energy Dominance Council established February 14, 2025",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,61,2026-02-11,Completed
27,Environment/Climate,"Eliminate the Interagency Working Group on the Social Cost of Carbon (SCC), which is cochaired by the OSTP, OMB, and CEA, and by executive order should end the use of SCC analysis",U.S. Office of Management and Budget,Environment/Climate,Completed,"Executive Order 14154 (January 20, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,61,2026-02-11,Completed
28,Budget Organizational Agenda,It is imperative that a political appointee lead the ONDCP budget office to ensure coordination between the OMB Program Associate Director and the ONDCP budgetary appointee.,U.S. Office of Management and Budget,Budget Organizational Agenda,Completed,"Announced appointment of Sara Carter as the Director of the Office of National Drug Control Policy with a post on Truth Social (March 28, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,62,2026-02-11,Completed
29,Regulatory Policy and Oversight,"ONDCP Director must ensure that grant programs are funding the President’s drug control priorities and not woke nonprofits with leftist policy agendas -- The administration will successfully do this by ensuring ONDCP is managed by political appointess committed to advancing the president's agenda. This shift reduces the number of career personnel needed, including military officials.",U.S. Office of Management and Budget,Regulatory Policy and Oversight,Completed,"Press release, ""ONDCP To Recompete Drug-Free Communities (DFC) Grants To Ensure Compliance With President Trump’s Executive Orders"" (September 26, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,62,2026-02-11,Completed
30,DEI,"Immediately revoke Executive Order 14020 and every policy, including subregulatory guidance documents, produced on behalf of or related to the establishment or promotion of the Gender Policy Council and its subsidiary issues",U.S. Office of Management and Budget,DEI,Completed,"Executive Order 14168 (January 20, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,62,2026-02-11,Completed
31,Personnel Organizational Agenda,The President should appoint a position/point of contact with the rank of Special Assistant to the President or higher to coordinate and lead the President’s domestic priorities on issues related to life and family in cooperation with the Domestic Policy Council.,U.S. Office of Management and Budget,Personnel Organizational Agenda,Initiated/Attempted,"Partial: Executive Order 14205  (February 7, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,62,2026-02-11,In progress
32,Agricultural Productivity vs. Climate & Environmental Agendas,The administration should remove the U.S. from any association with U.N. and other efforts to push sustainable-development schemes connected to food production.,U.S. Department of Agriculture,Agricultural Productivity vs. Climate & Environmental Agendas,Initiated/Attempted,"US withdraws from 66 UN and other international NGOs (Jan. 7, 2026).",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,293,2026-02-11,In progress
33,Agricultural Productivity vs. Climate & Environmental Agendas,"Issue an executive order to remove all references to transforming the food system on its website and other department-disseminated material, and it should expressly and regularly communicate the principles informing the objectives listed above, as well as promote these principles through legislative efforts.",U.S. Department of Agriculture,Agricultural Productivity vs. Climate & Environmental Agendas,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,293-294,2026-02-11,Not initiated
34,Welfare Reform & Food Assistance Programs,The administration should reform SNAP by re-implementing and bolstering the work requirements for eligibility.,U.S. Department of Agriculture,Welfare Reform & Food Assistance Programs,Completed,"OBBBA SNAP Work Requirements (Jul. 4, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,299,2026-02-11,Completed
35,Welfare Reform & Food Assistance Programs,The administration should reform WIC by reforming the state voucher system to eliminate monopolies and re-evaluate the delays in the manufacturing and selling of baby formula.,U.S. Department of Agriculture,Welfare Reform & Food Assistance Programs,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,301,2026-02-11,Not initiated
36,Welfare Reform & Food Assistance Programs,The USDA should issue a rule that clarifies that only an individual school or school district must meet the 40% criteria to be eligible for CEP.,U.S. Department of Agriculture,Welfare Reform & Food Assistance Programs,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,303,2026-02-11,Not initiated
37,Agricultural Subsidies & Financial Assistance Reforms,"The USDA should work with Congress to eliminate the Conservation Reserve Program, a voluntary program that encourages farmers and landowners to convert highly erodible and other environmentally sensitive acreage to vegetative cover.",U.S. Department of Agriculture,Agricultural Subsidies & Financial Assistance Reforms,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,303,2026-02-11,Not initiated
38,Trade & Market Reforms,"The administration should focus on removing obstacles for agricultural biotechnology, including by implementing stronger counter scare tactics and adoping policies to remove unnecessary barriers.",U.S. Department of Agriculture,Trade & Market Reforms,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,307,2026-02-11,Not initiated
39,Trade & Market Reforms,The USDA should work with the USTR to remove improper barriers imposed by other countries to block U.S. agricultural goods.,U.S. Department of Agriculture,Trade & Market Reforms,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,307,2026-02-11,Not initiated
40,Forest Management & Wildfire Prevention,"The next administration should reform the Forest Service by issuing executive orders and passing legislation that would promote active management of vegetation, reduce regulatory obstacles to reducing fuel buildup, and increase timber sales.",U.S. Department of Agriculture,Forest Management & Wildfire Prevention,Completed,"Executive Order 14308 (Jun. 12, 2025); Executive Order 14225 (Mar. 1, 2025);
Secretarial Memorandum 1078-006 (April 3, 2025);
Roadless Rule rescission (June 23, 2025);
Secretarial Memorandum 1078-017 (September 15, 2025);
News Release - relocation of USFS Headquarters to Salt Lake City (March 31, 2026)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,307,2026-02-11,Completed
41,Forest Management & Wildfire Prevention,"The next administration should reform the Dietary Guidelines, in partnership with HHS, to either develop a more transparent process that properly considers the underlying science and does not overstate findings or to repeal them completely.",U.S. Department of Agriculture,Forest Management & Wildfire Prevention,Completed,"Trump Administration Resets U.S. Nutrition Policy, Puts Real Food Back at the Center of Health (Jan. 7, 2026)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,308,2026-02-11,Completed
42,Agency Structure,"The administration should transfer Title I, Part A, which provides federal funding for lower-income school districts, to HHS, specifically the Administration for Children and Families. It should be administered as a no-strings-attached formula block grant.",U.S. Department of Education,Agency Structure,Initiated/Attempted,Certain formula programs moving to DOL.,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,325,2026-02-11,In progress
43,Agency Structure,Restore revenue responsibility for Title I funding to the states over a 10-year period. It should not be verseen by OESE.,U.S. Department of Education,Agency Structure,Proposed,"Executive Order, Improving Education Outcomes by Empowering Parents, States, and Communities (Mar. 20, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,326,2026-02-11,In progress
44,Agency Structure,OESE should eliminate Impact Aid not tied to students.,U.S. Department of Education,Agency Structure,Proposed,"Some members of Congress fear that cuts to Department staff and funding could affect Impact Aid. Letter from Members of Congress to Linda McMahon, Secretary of Education (April 8, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,326,2026-02-11,In progress
45,Agency Structure,OESE should move student-driven Impact Aid programs to the Department of Defense Education Authority (DoDEA) or the Department of Interior’s Bureau of Indian Education.,U.S. Department of Education,Agency Structure,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,326,2026-02-11,Not initiated
46,Agency Structure,Transfer all Indian education programs within OESE to the Bureau of Indian Education.,U.S. Department of Education,Agency Structure,Initiated/Attempted,"As of March, OESE has lost 17% of its staff. Civil Rights, Research, and More: What's Hit Hardest by Massive Ed. Dept. Cuts, Ed. Week (Mar. 17, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,326,2026-02-11,In progress
47,Agency Structure,"The D.C. Opportunity Scholarship Program, which provides vouchers to low-income children living in the nation’s capital—appropriate as D.C. is under the jurisdiction of Congress—should be expanded into a universal program, formula-funded, and moved to the Department of Health and Human Services.",U.S. Department of Education,Agency Structure,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,326,2026-02-11,Not initiated
48,Agency Structure,All other programs at OESE should be block-granted or eliminated.,U.S. Department of Education,Agency Structure,Initiated/Attempted,"As of March, OESE has lost 17% of its staff. Civil Rights, Research, and More: What's Hit Hardest by Massive Ed. Dept. Cuts, Ed. Week (Mar. 17, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,326,2026-02-11,In progress
49,Agency Structure,"Transfer the Office of Career, Technical, and Adult Education’s programs to the Department of Labor, but move the Tribally Controlled Postsecondary Career and Technical Education Program to the Bureau of Indian Education.",U.S. Department of Education,Agency Structure,Completed,Trump Admin. Starts Moving CTE to Labor Dep't After Supreme Court Order,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,327,2026-02-11,Completed
50,Agency Structure,Most IDEA funding should be converted into a no-strings formula block grant targeted at students with disabilities and distributed directly to local education agencies by Health and Human Service’s Administration for Community Living.,U.S. Department of Education,Agency Structure,Proposed,"Lexi Lonas Cochran, Trump Says Student Loans Moving to SBA, ""Special Needs"" to HHS, The Hill (Mar. 21, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,327,2026-02-11,In progress
51,Agency Structure,Transfer the Vocational Rehabilitation Grants for Native American students to the Bureau of Indian Education.,U.S. Department of Education,Agency Structure,Proposed,"Rounds Re-Introduces Bill to Eliminate Federal Department of Education, S. Dakota Searchlight (Apr. 9, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,327,2026-02-11,In progress
52,Agency Structure,Programs deemed important to our national security interests should be moved to the Department of State.,U.S. Department of Education,Agency Structure,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,328,2026-02-11,Not initiated
53,Agency Structure,"Move ED's statistical office, the National Commission for Education Statistics, to the Department of Commerce's Census Bureau.",U.S. Department of Education,Agency Structure,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,328,2026-02-11,Not initiated
54,Agency Structure,OCR should move to the Department of Justice.,U.S. Department of Education,Agency Structure,Initiated/Attempted,"Cf. Michael C. Bender & Rachel Nostrant, Trump Firings Gut Education Department's Civil Rights Division, N.Y. Times (Mar. 13, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,330,2026-02-11,In progress
55,Civil Rights,"The administation should rescind the changes made by OCR to collect data on a new '""nonbinary"" sex category.",U.S. Department of Education,Civil Rights,Proposed,"Education Department proposes removing trans, nonbinary student categories from mandated data collection",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,332,2026-02-11,In progress
56,Student Loans,The administration must commence negotiated rulemaking to rescind the Department's 2023 final regulations addressing loan forgiveness. It must propose that the department rescind the regulations.,U.S. Department of Education,Student Loans,Proposed,"Intent to Receive Public Feedback for the Development of Proposed Regulations and Establish Negotiated Rulemaking Committee, 90 Fed. Reg. 14741 (Apr. 4, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,332,2026-02-11,In progress
57,Grantmaking/Programmatic Ops,The administration must rescind Dear Colleague Letters 22-11 and 22-10 and its letters to accreditation agencies.,U.S. Department of Education,Grantmaking/Programmatic Ops,Completed,"See Dear Colleague Letter (May 1, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,332,2026-02-11,Completed
58,Title IX,"Begin a rulemaking process to rescind the current Administration’s Title IX regulations; restore the Title IX regulations promulgated by then-Secretary Betsy DeVos on May 19, 2020; and define “sex” under Title IX to mean only biological sex recognized at birth.",U.S. Department of Education,Title IX,Initiated/Attempted,"In light of vacatur of 2024 Title IX rule, the Dep't of Ed. is now enforcing the 2020 Title IX rule. See here.",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,333,2026-02-11,In progress
59,Title IX,"Restore the Trump Administration’s Title IX regulation, with the additional insistence that “sex” is properly understood as a fixed biological fact. Official notice-and-comment should be posted immediately.",U.S. Department of Education,Title IX,Initiated/Attempted,"In light of vacatur of 2024 Title IX rule, the Dep't of Ed. is now enforcing the 2020 Title IX rule. See here.",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,334,2026-02-11,In progress
60,Title IX,"All ongoing investigations should be dropped, and all school districts affected should be given notice that they are free to drop any policy changes pursued under pressure from the Biden Administration.",U.S. Department of Education,Title IX,Initiated/Attempted,"Cf. Michael C. Bender & Rachel Nostrant, Trump Firings Gut Education Department's Civil Rights Division, N.Y. Times (Mar. 13, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,334,2026-02-11,In progress
61,Title VI,The new administration should direct the department and DOJ jointly to issue enforcement guidance stating that the agencies will no longer investigate Title VI cases that exclusively rest on allegations of disparate impact.,U.S. Department of Education,Title VI,Completed,DOJ Drops “Disparate-Impact” Liability from Title VI: What this Means for Institutions of Higher Education,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,335,2026-02-11,Completed
62,Title VI,The next administation should rescind the guidance on school discipline implemented by the Obama administration and reinstated during the Biden administration.,U.S. Department of Education,Title VI,Completed,Fact Sheet: President Donald J. Trump Reinstates Commonsense School Dscipline Policies,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,335,2026-02-11,Completed
63,Title VI,The next Secretary of Education should work with the next AG on a regulation that state that Title VI of the Civil Rights Act does not include a disparate impact standard.,U.S. Department of Education,Title VI,Proposed,These regulations are under consideration at OIRA. See here.,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,335,2026-02-11,In progress
64,IDEA,"Effective January 18, 2017, the department issued final regulations under Part B of IDEA that require states to consider race and ethnicity in the identification, placement, and discipline of students with disabilities. The new Administration should rescind this regulation.",U.S. Department of Education,IDEA,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,336,2026-02-11,Not initiated
65,IDEA,"The next Administration should immediately commence rulemaking to rescind the Equity in IDEA regulation. No replacement regulation
is required.",U.S. Department of Education,IDEA,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,336,2026-02-11,Not initiated
66,School meals,The next Administration should prohibit the USDA or any other federal agency from withholding services from federal or state agencies—including but not limited to K–12 schools—that choose not to replace “sex” with “SOGI” in that agency’s administration of Title IX.,U.S. Department of Education,School meals,Completed,"Guidance on the Interpretation of Discrimination Based on ""Sex"" in USDA Child Nutrition Programs",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,337,2026-02-11,Completed
67,Student Loans,The Secretary should phase out all existing income-driven repayment plans by making new loans ineligible.,U.S. Department of Education,Student Loans,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,337,2026-02-11,Not initiated
68,Agency Structure,"The new Administration must end the prior Administration’s abuse of the agency’s payment pause and HEA loan forgiveness programs, including borrower defense to repayment, closed school discharge, and Public Service Loan Forgiveness.",U.S. Department of Education,Agency Structure,Initiated/Attempted,U.S. Department of Education Issues Proposed Public Service Program Rules to Protect American Taxpayers,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,340,2026-02-11,In progress
69,Agency Structure,The new Administration should also take immediate steps to commence the rulemaking process to rescind or substantially modify the prior Administration’s HEA regulations.,U.S. Department of Education,Agency Structure,Proposed,"Intent to Receive Public Feedback for the Development of Proposed Regulations and Establish Negotiated Rulemaking Committee, 90 Fed. Reg. 14741 (Apr. 4, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,340,2026-02-11,In progress
70,Civil Rights,"The President should immediately reinstate and reissue Executive Order 13891: Promoting the Rule of Law Through Improved
Agency Guidance Documents, 84 Fed. Reg. 55235 (Oct. 9, 2019),
and Executive Order 13892: Promoting the Rule of Law Through Transparency and Fairness in Civil Administrative Enforcement and Adjudication (Oct. 15, 2019).",U.S. Department of Education,Civil Rights,Completed,"Executive Order, Initial Rescissions of Harmful Executive Orders and Actions (Jan. 20, 2025)",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,357,2026-02-11,Completed
71,Agency Structure,The President should issue an executive order requiring the Office for Civil Rights’ Case Processing Manual to go through APA (Administrative Procedures Act) notice and comment.,U.S. Department of Education,Agency Structure,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,357,2026-02-11,Not initiated
72,Civil Rights,The President should issue an executive order requiring grant applications (SF-424 series) to contain assurances that the applicant will uphold the First Amendment in funded programs and work.,U.S. Department of Education,Civil Rights,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,357,2026-02-11,Not initiated
73,HEA,The President should issue an executive order stating that a college degree shall not be required for any federal job unless the requirements of the job specifically demand it.,U.S. Department of Education,HEA,Completed,The Merit Hiring Plan discusses unnecessary degree requirements,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,357,2026-02-11,Completed
74,Civil Rights,Issue an executive order so that educational institutions can claim a religious exemption with the Office for Civil Rights at the Department,U.S. Department of Education,Civil Rights,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,357,2026-02-11,Not initiated
75,HEA,"The “list of shame” of faith-based colleges, as it came to be known, has since been archived on ED’s website, still publicly available. The President should issue an executive order removing the archived list and preventing such a list from being published in the future.",U.S. Department of Education,HEA,Completed,The URL for this list is no longer active.,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,357,2026-02-11,Completed
76,Department Reform and Standards,The Department of Energy should be renamed as the Department of of Energy Security and Advanced Science (DESAS).,U.S. Department of Energy,Department Reform and Standards,Not Initiated,,https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,366,2026-02-11,Not initiated
77,Department and Program Funding,"The DESAS should eliminate special-interest funding programs such as the DOE Office of Clean Energy Demonstrations (OCED), Office of State and Community Energy Programs, ARPA-E, Office of Grid Deployment (OGD), and DOE Loan Program.",U.S. Department of Energy,Department and Program Funding,Completed,"Partial: DOE's structure no longer shows Office of Energy Efficiency and Renewable Energy, the Office of Clean Energy Demonstrations, the Office of State and Community Energy Programs, the Office of Federal Energy Management Program and the grid deployment office.",https://progressivereform.org/tracking-trump-2/project-2025-executive-action-tracker/,368,2026-02-11,Completed
